show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s12,TV Show,Chronicles of Destiny,Anubhav Sinha,Ryan Gosling; Shah Rukh Khan; Deepika Padukone; Dhanush,India,"October 12, 2017",1994,TV-MA,6 Seasons,"Dramas, Thrillers","A Dramas story set in India, following Ryan Gosling on an unexpected journey."
s13,Movie,Mystery of Memories,S. S. Rajamouli,Emma Stone; Robert Downey Jr.,Japan,"September 01, 2017",1997,TV-PG,142 min,"Sci-Fi & Fantasy, Thrillers","When everything goes wrong, Emma Stone must fight to set things right in this Sci-Fi & Fantasy."
s14,TV Show,City of Warrior,David Fincher,Alia Bhatt; Emma Stone,France,"December 22, 2018",2007,R,8 Seasons,"Mystery, Thrillers","A Mystery story set in France, following Alia Bhatt on an unexpected journey."
s15,TV Show,Secret of Code,Spike Lee,Alia Bhatt; Vijay Deverakonda; Dhanush,Canada,"January 05, 2021",2008,TV-14,7 Seasons,"Action & Adventure, Crime TV Shows, Documentaries","When everything goes wrong, Alia Bhatt must fight to set things right in this Action & Adventure."
s16,Movie,Journey to Destiny,Christopher Nolan,Chris Hemsworth; Robert Downey Jr.; N. T. Rama Rao Jr.; Alia Bhatt,United Kingdom,"July 23, 2019",2011,R,107 min,"Romantic Movies, Action & Adventure","In United Kingdom, a group of strangers cross paths in this emotional Romantic Movies."
s17,TV Show,Mystery of Memories,Greta Gerwig,Vijay Deverakonda; Prabhas; Alia Bhatt,Spain,"June 10, 2017",1983,PG,1 Seasons,"Mystery, Dramas, Thrillers","A heartfelt Mystery exploring family, friendship, and dreams in Spain."
s18,Movie,Mystery of Destiny,Christopher Nolan,Prabhas; Ram Charan; Vijay Deverakonda; Robert Downey Jr.,Australia,"October 06, 2015",1995,R,95 min,"Kids' TV, Thrillers","When everything goes wrong, Prabhas must fight to set things right in this Kids' TV."
s19,TV Show,Escape from Love,Greta Gerwig,Emma Stone; Alia Bhatt,Spain,"June 10, 2019",1988,TV-PG,5 Seasons,"Anime, Comedies, Dramas","A Anime story set in Spain, following Emma Stone on an unexpected journey."
s20,Movie,Mystery of Queens,Rajkumar Hirani,Ranbir Kapoor; Dhanush; Leonardo DiCaprio,India,"November 10, 2024",1995,PG-13,116 min,"Action & Adventure, Kids' TV, Horror Movies","A heartfelt Action & Adventure exploring family, friendship, and dreams in India."
s21,Movie,Legend of Love,James Cameron,Tom Cruise; Dhanush; Emma Stone; Robert Downey Jr.,United Kingdom,"December 19, 2017",1987,TV-MA,175 min,"Crime TV Shows, Documentaries","In United Kingdom, a group of strangers cross paths in this emotional Crime TV Shows."
s22,Movie,Echoes of Kota,James Cameron,Deepika Padukone; Vijay Deverakonda; Shah Rukh Khan; Ranbir Kapoor,United States,"January 14, 2016",2007,TV-G,115 min,"Dramas, Romantic Movies","Shah Rukh Khan stars in this gripping Dramas about choices, fate, and second chances."
s23,TV Show,Rise of Destiny,Rajkumar Hirani,Ram Charan; Deepika Padukone; Chris Hemsworth; Robert Downey Jr.,India,"November 26, 2024",2024,TV-14,1 Seasons,"Horror Movies, Anime","In India, a group of strangers cross paths in this emotional Horror Movies."
s24,Movie,Secret of Kota,Karan Johar,Shah Rukh Khan; Emma Stone,India,"December 19, 2018",2015,TV-G,132 min,"Kids' TV, Sci-Fi & Fantasy","When everything goes wrong, Shah Rukh Khan must fight to set things right in this Kids' TV."
s25,Movie,Secret of Destiny,Martin Scorsese,Emma Stone; N. T. Rama Rao Jr.; Scarlett Johansson; Dhanush,Brazil,"September 09, 2024",1995,PG-13,100 min,"Mystery, Romantic Movies","Dhanush stars in this gripping Mystery about choices, fate, and second chances."
s26,Movie,Echoes of Storm,Zoya Akhtar,Tom Cruise; Ram Charan; N. T. Rama Rao Jr.,Canada,"July 02, 2017",1981,TV-PG,104 min,"Romantic Movies, Documentaries, Comedies","A heartfelt Romantic Movies exploring family, friendship, and dreams in Canada."
s27,TV Show,Journey to Love,James Cameron,Emma Stone; Chris Hemsworth; Robert Downey Jr.; Ranbir Kapoor,United Kingdom,"July 06, 2021",1996,TV-MA,2 Seasons,"Kids' TV, Horror Movies, Mystery","When everything goes wrong, Emma Stone must fight to set things right in this Kids' TV."
s28,Movie,Journey to Empire,Greta Gerwig,Ram Charan; Chris Hemsworth,Japan,"January 17, 2024",2014,TV-PG,172 min,"Mystery, Horror Movies","A heartfelt Mystery exploring family, friendship, and dreams in Japan."
s29,TV Show,Chronicles of Time,James Cameron,Tom Cruise; Deepika Padukone,Spain,"June 24, 2022",2006,PG-13,7 Seasons,"Mystery, Crime TV Shows, Action & Adventure","Deepika Padukone stars in this gripping Mystery about choices, fate, and second chances."
s30,TV Show,Battle for Memories,Anubhav Sinha,Chris Hemsworth; Ranbir Kapoor; Dhanush; Alia Bhatt,France,"October 24, 2023",2017,PG,6 Seasons,"Anime, Crime TV Shows, Sci-Fi & Fantasy","A Anime story set in France, following Ranbir Kapoor on an unexpected journey."
s31,TV Show,Chronicles of Memories,Rajkumar Hirani,Emma Stone; Robert Downey Jr.; Ram Charan; N. T. Rama Rao Jr.,Canada,"July 18, 2022",1999,TV-14,4 Seasons,"Action & Adventure, Dramas","When everything goes wrong, Emma Stone must fight to set things right in this Action & Adventure."
s32,TV Show,Echoes of Kings,James Cameron,Scarlett Johansson; Ryan Gosling; Dhanush; Vijay Deverakonda,South Korea,"June 25, 2019",1995,TV-14,1 Seasons,"Comedies, Documentaries, Sci-Fi & Fantasy","A Comedies story set in South Korea, following Vijay Deverakonda on an unexpected journey."
s33,Movie,Voices in Kota,S. S. Rajamouli,Ranbir Kapoor; N. T. Rama Rao Jr.; Shah Rukh Khan,Brazil,"December 15, 2020",2015,PG,120 min,"Anime, Kids' TV, Crime TV Shows","When everything goes wrong, Shah Rukh Khan must fight to set things right in this Anime."
s34,TV Show,Chronicles of Storm,Greta Gerwig,Deepika Padukone; N. T. Rama Rao Jr.,Japan,"June 07, 2020",2020,TV-14,5 Seasons,"Anime, Documentaries","In Japan, a group of strangers cross paths in this emotional Anime."
s35,Movie,Journey to Destiny,Martin Scorsese,Shah Rukh Khan; Scarlett Johansson,Mexico,"September 17, 2016",1993,TV-MA,133 min,"Romantic Movies, Kids' TV, Crime TV Shows","When everything goes wrong, Shah Rukh Khan must fight to set things right in this Romantic Movies."
s36,TV Show,Echoes of Love,Patty Jenkins,Chris Hemsworth; Ram Charan; N. T. Rama Rao Jr.; Tom Cruise,France,"May 07, 2020",1980,PG-13,5 Seasons,"Romantic Movies, Kids' TV, Mystery","When everything goes wrong, Ram Charan must fight to set things right in this Romantic Movies."
s37,Movie,Battle for Destiny,Greta Gerwig,Vijay Deverakonda; Chris Hemsworth; Scarlett Johansson,Germany,"July 02, 2022",2005,TV-PG,101 min,"Anime, Thrillers","A heartfelt Anime exploring family, friendship, and dreams in Germany."
s38,Movie,Echoes of Code,S. S. Rajamouli,Ram Charan; Prabhas; Vijay Deverakonda; Shah Rukh Khan,United Kingdom,"July 25, 2015",1996,R,121 min,"Sci-Fi & Fantasy, Romantic Movies, Mystery","In United Kingdom, a group of strangers cross paths in this emotional Sci-Fi & Fantasy."
s39,TV Show,The Last Queens,Greta Gerwig,Vijay Deverakonda; Chris Hemsworth,Mexico,"January 18, 2021",1983,PG-13,4 Seasons,"Thrillers, Mystery","Vijay Deverakonda stars in this gripping Thrillers about choices, fate, and second chances."
s40,Movie,Mystery of Love,Christopher Nolan,Ranbir Kapoor; Alia Bhatt; Prabhas; Shah Rukh Khan,Brazil,"April 13, 2016",2016,TV-14,139 min,"Mystery, Horror Movies, Action & Adventure","Ranbir Kapoor stars in this gripping Mystery about choices, fate, and second chances."
s41,TV Show,Dreams of Queens,S. S. Rajamouli,Chris Hemsworth; Dhanush; Ranbir Kapoor; Tom Cruise,Brazil,"March 18, 2019",2005,TV-PG,4 Seasons,"Comedies, Action & Adventure","A heartfelt Comedies exploring family, friendship, and dreams in Brazil."
s42,Movie,Secret of Memories,Patty Jenkins,Ryan Gosling; Deepika Padukone,France,"June 02, 2022",2003,TV-MA,144 min,"Thrillers, Dramas, Romantic Movies","When everything goes wrong, Ryan Gosling must fight to set things right in this Thrillers."
s43,TV Show,Shadows of Universe,James Cameron,Ranbir Kapoor; Scarlett Johansson; Prabhas,Mexico,"November 07, 2020",1997,PG,8 Seasons,"Anime, Thrillers, Documentaries","A Anime story set in Mexico, following Ranbir Kapoor on an unexpected journey."
s44,TV Show,Chronicles of Silence,Zoya Akhtar,Dhanush; Tom Cruise,Australia,"June 29, 2022",2004,PG-13,1 Seasons,"Anime, Action & Adventure, Crime TV Shows","In Australia, a group of strangers cross paths in this emotional Anime."
s45,TV Show,City of Kings,Patty Jenkins,Deepika Padukone; Vijay Deverakonda; Chris Hemsworth; Dhanush,Canada,"December 17, 2015",1995,TV-PG,7 Seasons,"Anime, Crime TV Shows","When everything goes wrong, Dhanush must fight to set things right in this Anime."
s46,Movie,Shadows of Silence,S. S. Rajamouli,Shah Rukh Khan; Scarlett Johansson; Ryan Gosling,Canada,"June 08, 2018",2017,PG-13,140 min,"Crime TV Shows, Romantic Movies, Kids' TV","When everything goes wrong, Ryan Gosling must fight to set things right in this Crime TV Shows."
s47,TV Show,Legend of Kings,Greta Gerwig,Shah Rukh Khan; Robert Downey Jr.; Ryan Gosling,Canada,"July 16, 2018",1987,TV-PG,3 Seasons,"Sci-Fi & Fantasy, Crime TV Shows","A heartfelt Sci-Fi & Fantasy exploring family, friendship, and dreams in Canada."
s48,TV Show,Battle for Storm,S. S. Rajamouli,Tom Cruise; Alia Bhatt,Germany,"January 04, 2017",1999,TV-MA,3 Seasons,"Documentaries, Dramas","When everything goes wrong, Tom Cruise must fight to set things right in this Documentaries."
s49,Movie,Escape from Empire,Christopher Nolan,Tom Cruise; Shah Rukh Khan; Dhanush; Ram Charan,Germany,"January 25, 2017",1983,PG-13,141 min,"Comedies, Anime","Tom Cruise stars in this gripping Comedies about choices, fate, and second chances."
s50,Movie,Journey to Memories,Patty Jenkins,Prabhas; Alia Bhatt; Robert Downey Jr.,Japan,"July 29, 2023",2006,PG,156 min,"Kids' TV, Crime TV Shows","In Japan, a group of strangers cross paths in this emotional Kids' TV."
s51,TV Show,Battle for Empire,Greta Gerwig,Robert Downey Jr.; Tom Cruise; Ryan Gosling; Vijay Deverakonda,Canada,"January 06, 2022",1993,PG-13,2 Seasons,"Action & Adventure, Sci-Fi & Fantasy","A Action & Adventure story set in Canada, following Tom Cruise on an unexpected journey."
s52,TV Show,Echoes of Queens,Zoya Akhtar,Vijay Deverakonda; Ranbir Kapoor; Chris Hemsworth; Alia Bhatt,Spain,"December 05, 2022",1998,TV-PG,8 Seasons,"Comedies, Horror Movies","When everything goes wrong, Ranbir Kapoor must fight to set things right in this Comedies."
s53,Movie,Voices in Storm,Rajkumar Hirani,Ranbir Kapoor; Dhanush,Spain,"April 08, 2024",1989,TV-MA,87 min,"Action & Adventure, Thrillers, Mystery","A Action & Adventure story set in Spain, following Dhanush on an unexpected journey."
s54,TV Show,The Last Empire,Spike Lee,N. T. Rama Rao Jr.; Ranbir Kapoor; Deepika Padukone,Japan,"July 15, 2020",2008,TV-MA,1 Seasons,"Romantic Movies, Thrillers, Documentaries","A heartfelt Romantic Movies exploring family, friendship, and dreams in Japan."
s55,Movie,Journey to Warrior,James Cameron,Robert Downey Jr.; N. T. Rama Rao Jr.; Dhanush,United Kingdom,"April 11, 2020",2013,TV-PG,136 min,"Documentaries, Thrillers","A Documentaries story set in United Kingdom, following N. T. Rama Rao Jr. on an unexpected journey."
s56,TV Show,Secret of Queens,Karan Johar,Emma Stone; Leonardo DiCaprio; Vijay Deverakonda,India,"August 14, 2024",1990,PG-13,7 Seasons,"Mystery, Documentaries, Romantic Movies","A Mystery story set in India, following Vijay Deverakonda on an unexpected journey."
s57,TV Show,Chronicles of Chaos,S. S. Rajamouli,Deepika Padukone; Leonardo DiCaprio; Robert Downey Jr.,France,"September 12, 2024",2012,TV-G,1 Seasons,"Thrillers, Romantic Movies, Dramas","A heartfelt Thrillers exploring family, friendship, and dreams in France."
s58,TV Show,Mystery of Queens,James Cameron,Robert Downey Jr.; Alia Bhatt; Ranbir Kapoor,Japan,"June 20, 2016",1998,R,8 Seasons,"Comedies, Mystery","Robert Downey Jr. stars in this gripping Comedies about choices, fate, and second chances."
s59,TV Show,Voices in Kings,Rajkumar Hirani,Ram Charan; Robert Downey Jr.,Canada,"June 08, 2024",1987,R,2 Seasons,"Thrillers, Anime","A heartfelt Thrillers exploring family, friendship, and dreams in Canada."
s60,TV Show,Voices in Queens,Anubhav Sinha,Vijay Deverakonda; Alia Bhatt; Shah Rukh Khan,Japan,"August 15, 2016",2004,TV-14,3 Seasons,"Comedies, Anime, Romantic Movies","In Japan, a group of strangers cross paths in this emotional Comedies."
s61,Movie,Echoes of Chaos,Greta Gerwig,Tom Cruise; Ram Charan; Vijay Deverakonda; Dhanush,Brazil,"June 28, 2020",1989,R,148 min,"Anime, Horror Movies, Kids' TV","When everything goes wrong, Dhanush must fight to set things right in this Anime."
s62,TV Show,Escape from Destiny,David Fincher,Shah Rukh Khan; Tom Cruise; Scarlett Johansson; Alia Bhatt,France,"June 28, 2015",2000,TV-PG,8 Seasons,"Mystery, Romantic Movies, Action & Adventure","A heartfelt Mystery exploring family, friendship, and dreams in France."
s63,TV Show,Mystery of Kings,S. S. Rajamouli,Alia Bhatt; Deepika Padukone; Shah Rukh Khan,United States,"February 07, 2023",1989,R,3 Seasons,"Comedies, Horror Movies, Romantic Movies","A Comedies story set in United States, following Deepika Padukone on an unexpected journey."
s64,TV Show,Journey to Empire,James Cameron,N. T. Rama Rao Jr.; Leonardo DiCaprio; Emma Stone; Ryan Gosling,South Korea,"October 13, 2024",2014,TV-MA,2 Seasons,"Sci-Fi & Fantasy, Documentaries, Comedies","When everything goes wrong, N. T. Rama Rao Jr. must fight to set things right in this Sci-Fi & Fantasy."
s65,Movie,Journey to Love,Spike Lee,Chris Hemsworth; Vijay Deverakonda; Leonardo DiCaprio,United States,"April 16, 2018",2002,PG-13,135 min,"Action & Adventure, Kids' TV","Leonardo DiCaprio stars in this gripping Action & Adventure about choices, fate, and second chances."
s66,Movie,Escape from Storm,Martin Scorsese,N. T. Rama Rao Jr.; Tom Cruise,Brazil,"September 13, 2017",2011,PG,98 min,"Sci-Fi & Fantasy, Mystery, Horror Movies","When everything goes wrong, N. T. Rama Rao Jr. must fight to set things right in this Sci-Fi & Fantasy."
s67,TV Show,Secret of Memories,James Cameron,Leonardo DiCaprio; Robert Downey Jr.; Shah Rukh Khan; Vijay Deverakonda,Australia,"May 10, 2018",2007,TV-PG,5 Seasons,"Anime, Sci-Fi & Fantasy, Romantic Movies","Leonardo DiCaprio stars in this gripping Anime about choices, fate, and second chances."
s68,TV Show,Dreams of Memories,Patty Jenkins,Tom Cruise; Ryan Gosling; Ranbir Kapoor,United States,"April 22, 2024",2022,R,5 Seasons,"Dramas, Thrillers","Ryan Gosling stars in this gripping Dramas about choices, fate, and second chances."
s69,TV Show,City of Destiny,David Fincher,Scarlett Johansson; Tom Cruise; Ranbir Kapoor; Emma Stone,Mexico,"August 10, 2023",2022,TV-PG,3 Seasons,"Thrillers, Mystery","When everything goes wrong, Ranbir Kapoor must fight to set things right in this Thrillers."
s70,Movie,Voices in Storm,Patty Jenkins,Ranbir Kapoor; Robert Downey Jr.; Vijay Deverakonda,Germany,"May 20, 2023",2006,TV-14,105 min,"Action & Adventure, Kids' TV, Mystery","In Germany, a group of strangers cross paths in this emotional Action & Adventure."
s71,TV Show,The Last Storm,Greta Gerwig,Emma Stone; N. T. Rama Rao Jr.; Robert Downey Jr.; Shah Rukh Khan,India,"July 30, 2016",1994,TV-G,7 Seasons,"Crime TV Shows, Comedies, Romantic Movies","When everything goes wrong, Emma Stone must fight to set things right in this Crime TV Shows."
s72,TV Show,City of Empire,James Cameron,Deepika Padukone; Tom Cruise; Scarlett Johansson; Emma Stone,Germany,"March 19, 2016",1994,R,1 Seasons,"Kids' TV, Thrillers, Sci-Fi & Fantasy","In Germany, a group of strangers cross paths in this emotional Kids' TV."
s73,TV Show,Escape from Silence,S. S. Rajamouli,Robert Downey Jr.; Chris Hemsworth,Spain,"July 10, 2020",1987,TV-MA,4 Seasons,"Crime TV Shows, Romantic Movies","A heartfelt Crime TV Shows exploring family, friendship, and dreams in Spain."
s74,Movie,Secret of Silence,Anubhav Sinha,Alia Bhatt; Ram Charan; Shah Rukh Khan; Tom Cruise,France,"February 19, 2018",1982,TV-PG,127 min,"Sci-Fi & Fantasy, Crime TV Shows, Documentaries","In France, a group of strangers cross paths in this emotional Sci-Fi & Fantasy."
s75,TV Show,Echoes of Love,Christopher Nolan,Deepika Padukone; Alia Bhatt; Robert Downey Jr.,South Korea,"January 11, 2016",1993,TV-PG,1 Seasons,"Dramas, Documentaries, Sci-Fi & Fantasy","A Dramas story set in South Korea, following Deepika Padukone on an unexpected journey."
s76,Movie,Legend of Queens,Patty Jenkins,Shah Rukh Khan; Leonardo DiCaprio,United Kingdom,"November 05, 2023",2018,TV-MA,115 min,"Action & Adventure, Kids' TV","A Action & Adventure story set in United Kingdom, following Shah Rukh Khan on an unexpected journey."
s77,Movie,Dreams of Time,Martin Scorsese,Ryan Gosling; N. T. Rama Rao Jr.,Canada,"August 08, 2021",2000,TV-MA,102 min,"Documentaries, Action & Adventure","A Documentaries story set in Canada, following Ryan Gosling on an unexpected journey."
s78,TV Show,Escape from Universe,Zoya Akhtar,Alia Bhatt; Shah Rukh Khan; Deepika Padukone,Canada,"November 24, 2021",1982,TV-PG,5 Seasons,"Anime, Dramas","When everything goes wrong, Shah Rukh Khan must fight to set things right in this Anime."
s79,Movie,Battle for Storm,Zoya Akhtar,Dhanush; Robert Downey Jr.; Vijay Deverakonda; Leonardo DiCaprio,Australia,"August 30, 2016",1984,TV-14,115 min,"Kids' TV, Romantic Movies, Thrillers","A heartfelt Kids' TV exploring family, friendship, and dreams in Australia."
s80,TV Show,Journey to Time,S. S. Rajamouli,Alia Bhatt; Ram Charan; Emma Stone; Dhanush,Japan,"January 31, 2023",1993,R,8 Seasons,"Sci-Fi & Fantasy, Romantic Movies, Crime TV Shows","In Japan, a group of strangers cross paths in this emotional Sci-Fi & Fantasy."
s81,TV Show,Echoes of Kota,Karan Johar,Deepika Padukone; Leonardo DiCaprio; Prabhas; Emma Stone,South Korea,"October 02, 2015",1985,TV-G,2 Seasons,"Comedies, Action & Adventure, Romantic Movies","A heartfelt Comedies exploring family, friendship, and dreams in South Korea."
s82,TV Show,Mystery of Chaos,James Cameron,Ram Charan; Leonardo DiCaprio,Brazil,"June 01, 2023",2007,TV-G,1 Seasons,"Documentaries, Romantic Movies, Comedies","Ram Charan stars in this gripping Documentaries about choices, fate, and second chances."
s83,TV Show,Secret of Chaos,David Fincher,Ryan Gosling; Ram Charan,Japan,"February 14, 2019",1987,TV-G,5 Seasons,"Kids' TV, Romantic Movies","A heartfelt Kids' TV exploring family, friendship, and dreams in Japan."
s84,TV Show,Dreams of Warrior,Christopher Nolan,Deepika Padukone; Ryan Gosling,Spain,"October 23, 2018",2002,TV-MA,3 Seasons,"Action & Adventure, Comedies, Sci-Fi & Fantasy","A Action & Adventure story set in Spain, following Deepika Padukone on an unexpected journey."
s85,Movie,Rise of Kota,Anubhav Sinha,Dhanush; Leonardo DiCaprio; Prabhas,Germany,"June 30, 2018",2000,TV-G,152 min,"Kids' TV, Dramas","A Kids' TV story set in Germany, following Prabhas on an unexpected journey."
s86,Movie,Journey to Empire,Greta Gerwig,Ram Charan; Shah Rukh Khan; Tom Cruise,South Korea,"August 24, 2019",1997,TV-14,176 min,"Crime TV Shows, Horror Movies","A heartfelt Crime TV Shows exploring family, friendship, and dreams in South Korea."
s87,TV Show,Legend of Silence,Rajkumar Hirani,Tom Cruise; Chris Hemsworth; Alia Bhatt; Scarlett Johansson,Australia,"August 13, 2015",1980,TV-14,5 Seasons,"Sci-Fi & Fantasy, Horror Movies","A Sci-Fi & Fantasy story set in Australia, following Tom Cruise on an unexpected journey."
s88,TV Show,The Last Memories,Spike Lee,Leonardo DiCaprio; Prabhas; Scarlett Johansson,Japan,"November 22, 2022",1994,PG,6 Seasons,"Comedies, Dramas, Anime","In Japan, a group of strangers cross paths in this emotional Comedies."
s89,TV Show,Secret of Empire,Patty Jenkins,Ram Charan; Ranbir Kapoor; Robert Downey Jr.,France,"March 27, 2015",2000,TV-14,8 Seasons,"Mystery, Comedies, Romantic Movies","When everything goes wrong, Ram Charan must fight to set things right in this Mystery."
s90,TV Show,City of Empire,Rajkumar Hirani,N. T. Rama Rao Jr.; Ram Charan,Spain,"May 13, 2023",2001,TV-14,6 Seasons,"Action & Adventure, Kids' TV","In Spain, a group of strangers cross paths in this emotional Action & Adventure."
s91,TV Show,Echoes of Warrior,Spike Lee,Ranbir Kapoor; Alia Bhatt; Robert Downey Jr.; Prabhas,Spain,"March 19, 2017",1991,PG,3 Seasons,"Thrillers, Action & Adventure","When everything goes wrong, Prabhas must fight to set things right in this Thrillers."
s92,TV Show,The Last Silence,James Cameron,Emma Stone; Ram Charan; Vijay Deverakonda; Leonardo DiCaprio,United Kingdom,"December 07, 2019",1984,R,8 Seasons,"Thrillers, Documentaries, Kids' TV","In United Kingdom, a group of strangers cross paths in this emotional Thrillers."
s93,TV Show,Voices in Queens,Zoya Akhtar,Robert Downey Jr.; Leonardo DiCaprio,Spain,"November 11, 2015",1985,PG,7 Seasons,"Anime, Crime TV Shows","In Spain, a group of strangers cross paths in this emotional Anime."
s94,TV Show,Chronicles of Kings,Rajkumar Hirani,Robert Downey Jr.; Shah Rukh Khan,India,"February 04, 2024",2001,TV-PG,2 Seasons,"Crime TV Shows, Dramas","When everything goes wrong, Shah Rukh Khan must fight to set things right in this Crime TV Shows."
s95,Movie,Return of Chaos,Karan Johar,Tom Cruise; Scarlett Johansson; Dhanush,Germany,"August 12, 2022",2018,TV-MA,160 min,"Thrillers, Comedies, Horror Movies","When everything goes wrong, Dhanush must fight to set things right in this Thrillers."
s96,TV Show,Battle for Time,Greta Gerwig,Ranbir Kapoor; Leonardo DiCaprio; Robert Downey Jr.; Tom Cruise,Brazil,"August 02, 2016",2002,PG-13,7 Seasons,"Action & Adventure, Horror Movies","Robert Downey Jr. stars in this gripping Action & Adventure about choices, fate, and second chances."
s97,Movie,Rise of Kota,James Cameron,Ram Charan; Deepika Padukone; Leonardo DiCaprio; Chris Hemsworth,Germany,"June 19, 2018",1991,TV-14,123 min,"Anime, Sci-Fi & Fantasy","In Germany, a group of strangers cross paths in this emotional Anime."
s98,Movie,The Last Time,Rajkumar Hirani,Robert Downey Jr.; Emma Stone; Leonardo DiCaprio; N. T. Rama Rao Jr.,Australia,"June 20, 2016",2004,TV-14,100 min,"Action & Adventure, Crime TV Shows","Leonardo DiCaprio stars in this gripping Action & Adventure about choices, fate, and second chances."
s99,TV Show,Echoes of Time,Patty Jenkins,Dhanush; Alia Bhatt; Deepika Padukone,Canada,"June 21, 2018",2010,TV-G,4 Seasons,"Horror Movies, Crime TV Shows, Documentaries","A heartfelt Horror Movies exploring family, friendship, and dreams in Canada."
s100,TV Show,Secret of Empire,Martin Scorsese,Ranbir Kapoor; Ram Charan,Spain,"August 02, 2015",2010,TV-G,6 Seasons,"Crime TV Shows, Kids' TV","A Crime TV Shows story set in Spain, following Ram Charan on an unexpected journey."
s101,Movie,Battle for Silence,Greta Gerwig,Ranbir Kapoor; Ram Charan; Scarlett Johansson,India,"June 28, 2017",2008,PG-13,83 min,"Romantic Movies, Anime","When everything goes wrong, Ranbir Kapoor must fight to set things right in this Romantic Movies."
s102,Movie,Voices in Universe,Karan Johar,Chris Hemsworth; Leonardo DiCaprio,India,"May 30, 2024",2021,PG-13,98 min,"Action & Adventure, Horror Movies","Leonardo DiCaprio stars in this gripping Action & Adventure about choices, fate, and second chances."
s103,TV Show,Return of Destiny,Zoya Akhtar,Chris Hemsworth; Dhanush; Robert Downey Jr.; Vijay Deverakonda,Spain,"June 02, 2017",1989,PG,7 Seasons,"Comedies, Documentaries, Horror Movies","When everything goes wrong, Dhanush must fight to set things right in this Comedies."
s104,TV Show,Journey to Destiny,S. S. Rajamouli,Vijay Deverakonda; Tom Cruise,Japan,"March 09, 2015",2012,PG,4 Seasons,"Mystery, Documentaries","Tom Cruise stars in this gripping Mystery about choices, fate, and second chances."
s105,TV Show,Shadows of Storm,Martin Scorsese,Prabhas; Deepika Padukone; Leonardo DiCaprio; Robert Downey Jr.,Japan,"February 06, 2021",2012,TV-G,1 Seasons,"Romantic Movies, Dramas, Anime","In Japan, a group of strangers cross paths in this emotional Romantic Movies."
